ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01 00:00:00,167.36276634912707,210.86937480075565,377.3899930769541,167.36276634912707,167.36276634912707,127.04158499349153,127.04158499349153,127.04158499349153,25.066699999962545,25.066699999962545,25.066699999962545,-8.04239817888375,-8.04239817888375,-8.04239817888375,110.01728317241273,110.01728317241273,110.01728317241273,0.0,0.0,0.0,294.4043513426186
2024-01-01 01:00:00,167.3572362890597,207.2959179160171,366.5247467695842,167.3572362890597,167.3572362890597,122.07009500625183,122.07009500625183,122.07009500625183,19.91519392004991,19.91519392004991,19.91519392004991,-7.8260871389690365,-7.8260871389690365,-7.8260871389690365,109.98098822517096,109.98098822517096,109.98098822517096,0.0,0.0,0.0,289.42733129531155
2024-01-01 02:00:00,167.35170622899233,200.48882326228508,367.70529125015037,167.35170622899233,167.35170622899233,117.91153976089333,117.91153976089333,117.91153976089333,15.53614466747996,15.53614466747996,15.53614466747996,-7.568898397693062,-7.568898397693062,-7.568898397693062,109.94429349110644,109.94429349110644,109.94429349110644,0.0,0.0,0.0,285.26324598988566
2024-01-01 03:00:00,167.34617616892493,204.97424732762266,358.06699712190243,167.34617616892493,167.34617616892493,114.796341773103,114.796341773103,114.796341773103,12.163194814195535,12.163194814195535,12.163194814195535,-7.274051919398576,-7.274051919398576,-7.274051919398576,109.90719887830605,109.90719887830605,109.90719887830605,0.0,0.0,0.0,282.1425179420279
2024-01-01 04:00:00,167.34064610885753,190.29977869022875,356.73539268297986,167.34064610885753,167.34064610885753,110.71992569368676,110.71992569368676,110.71992569368676,7.795297672448964,7.795297672448964,7.795297672448964,-6.945076268298045,-6.945076268298045,-6.945076268298045,109.86970428953583,109.86970428953583,109.86970428953583,0.0,0.0,0.0,278.0605718025443
2024-01-01 05:00:00,167.33511604879013,198.73694772265597,348.47355569223845,167.33511604879013,167.33511604879013,104.99870399289549,104.99870399289549,104.99870399289549,1.7526610116235164,1.7526610116235164,1.7526610116235164,-6.585766640948012,-6.585766640948012,-6.585766640948012,109.83180962221998,109.83180962221998,109.83180962221998,0.0,0.0,0.0,272.3338200416856
2024-01-01 06:00:00,167.32958598872273,184.05072078778898,349.3472268537381,167.32958598872273,167.32958598872273,100.0555845347983,100.0555845347983,100.0555845347983,-3.537789999958946,-3.537789999958946,-3.537789999958946,-6.200140233633751,-6.200140233633751,-6.200140233633751,109.79351476839099,109.79351476839099,109.79351476839099,0.0,0.0,0.0,267.385170523521
2024-01-01 07:00:00,167.32405592865535,188.0387760767661,345.75632877320555,167.32405592865535,167.32405592865535,99.43960404860236,99.43960404860236,99.43960404860236,-4.5228260788977295,-4.5228260788977295,-4.5228260788977295,-5.792389487187322,-5.792389487187322,-5.792389487187322,109.75481961468742,109.75481961468742,109.75481961468742,0.0,0.0,0.0,266.7636599772577
2024-01-01 08:00:00,167.31852586858795,192.7805721919268,351.2379088206568,167.31852586858795,167.31852586858795,104.08428817074498,104.08428817074498,104.08428817074498,-0.26460209717934885,-0.26460209717934885,-0.26460209717934885,-5.366833774406481,-5.366833774406481,-5.366833774406481,109.71572404233082,109.71572404233082,109.71572404233082,0.0,0.0,0.0,271.40281403933295
2024-01-01 09:00:00,167.31299580852055,203.84560662807675,364.31789424472436,167.31299580852055,167.31299580852055,110.72504833169236,110.72504833169236,110.72504833169236,5.976690516505453,5.976690516505453,5.976690516505453,-4.927870111909788,-4.927870111909788,-4.927870111909788,109.67622792709668,109.67622792709668,109.67622792709668,0.0,0.0,0.0,278.03804414021295
2024-01-01 10:00:00,167.30746574845315,201.37709529412933,362.87854335855627,167.30746574845315,167.30746574845315,114.28578298371184,114.28578298371184,114.28578298371184,9.129375332693566,9.129375332693566,9.129375332693566,-4.479923488295451,-4.479923488295451,-4.479923488295451,109.63633113931371,109.63633113931371,109.63633113931371,0.0,0.0,0.0,281.59324873216497
2024-01-01 11:00:00,167.30193568838575,201.5968933403205,361.3200666295912,167.30193568838575,167.30193568838575,112.05402647698149,112.05402647698149,112.05402647698149,6.485390333239284,6.485390333239284,6.485390333239284,-4.027397400093299,-4.027397400093299,-4.027397400093299,109.59603354383552,109.59603354383552,109.59603354383552,0.0,0.0,0.0,279.35596216536726
2024-01-01 12:00:00,167.29640562831838,193.53653430960563,354.65892432308254,167.29640562831838,167.29640562831838,105.64128981645231,105.64128981645231,105.64128981645231,-0.3394199998421957,-0.3394199998421957,-0.3394199998421957,-3.5746251837086107,-3.5746251837086107,-3.5746251837086107,109.55533500000311,109.55533500000311,109.55533500000311,0.0,0.0,0.0,272.9376954447707
2024-01-01 13:00:00,167.29087556825098,185.52348029424408,343.6069666606949,167.29087556825098,167.29087556825098,98.92794554009875,98.92794554009875,98.92794554009875,-7.460467103339368,-7.460467103339368,-7.460467103339368,-3.125822718226711,-3.125822718226711,-3.125822718226711,109.51423536166483,109.51423536166483,109.51423536166483,0.0,0.0,0.0,266.21882110834974
2024-01-01 14:00:00,167.28534550818358,179.80392570471128,341.81531549698855,167.28534550818358,167.28534550818358,94.20431056846667,94.20431056846667,94.20431056846667,-12.583380855107391,-12.583380855107391,-12.583380855107391,-2.6850430535812237,-2.6850430535812237,-2.6850430535812237,109.47273447715526,109.47273447715526,109.47273447715526,0.0,0.0,0.0,261.48965607665025
2024-01-01 15:00:00,167.27981544811618,179.18875514986854,335.4068085452184,167.27981544811618,167.27981544811618,90.48147388215176,90.48147388215176,90.48147388215176,-16.69322481408908,-16.69322481408908,-16.69322481408908,-2.2561334930094246,-2.2561334930094246,-2.2561334930094246,109.43083218925025,109.43083218925025,109.43083218925025,0.0,0.0,0.0,257.7612893302679
2024-01-01 16:00:00,167.27428538804878,166.68516596293324,327.1100052164969,167.27428538804878,167.27428538804878,85.6540648058616,85.6540648058616,85.6540648058616,-21.891767903136405,-21.891767903136405,-21.891767903136405,-1.842695626188229,-1.842695626188229,-1.842695626188229,109.38852833518622,109.38852833518622,109.38852833518622,0.0,0.0,0.0,252.92835019391038
2024-01-01 17:00:00,167.2687553279814,164.40723635132773,326.8382948493068,167.2687553279814,167.2687553279814,80.15151614941463,80.15151614941463,80.15151614941463,-27.74625782805719,-27.74625782805719,-27.74625782805719,-1.4480487691676116,-1.4480487691676116,-1.4480487691676116,109.34582274663943,109.34582274663943,109.34582274663943,0.0,0.0,0.0,247.42027147739606
2024-01-01 18:00:00,167.263225267914,166.581940139101,324.0898307104088,167.263225267914,167.263225267914,78.02918802526881,78.02918802526881,78.02918802526881,-30.19833000004092,-30.19833000004092,-30.19833000004092,-1.0751972243841683,-1.0751972243841683,-1.0751972243841683,109.3027152496939,109.3027152496939,109.3027152496939,0.0,0.0,0.0,245.29241329318282
2024-01-01 19:00:00,167.2576952078466,173.54305155751726,334.13427483413363,167.2576952078466,167.2576952078466,83.91361724487312,83.91361724487312,83.91361724487312,-24.61878669555749,-24.61878669555749,-24.61878669555749,-0.7268017244513071,-0.7268017244513071,-0.7268017244513071,109.25920566488192,109.25920566488192,109.25920566488192,0.0,0.0,0.0,251.17131245271975
2024-01-01 20:00:00,167.2521651477792,184.25347381777593,346.22278351155603,167.2521651477792,167.2521651477792,98.44393076420029,98.44393076420029,98.44393076420029,-10.366207673843965,-10.366207673843965,-10.366207673843965,-0.40515536907183813,-0.40515536907183813,-0.40515536907183813,109.2152938071161,109.2152938071161,109.2152938071161,0.0,0.0,0.0,265.6960959119795
2024-01-01 21:00:00,167.2466350877118,205.457042569098,360.2451307331207,167.2466350877118,167.2466350877118,116.62099466041356,116.62099466041356,116.62099466041356,7.562179482878434,7.562179482878434,7.562179482878434,-0.11216430816892581,-0.11216430816892581,-0.11216430816892581,109.17097948570407,109.17097948570407,109.17097948570407,0.0,0.0,0.0,283.86762974812535
2024-01-01 22:00:00,167.24110502764444,220.89282111957817,375.3690695661274,167.24110502764444,167.24110502764444,130.93090999551532,130.93090999551532,130.93090999551532,21.653980855358405,21.653980855358405,21.653980855358405,0.15066663579190548,0.15066663579190548,0.15066663579190548,109.126262504365,109.126262504365,109.126262504365,0.0,0.0,0.0,298.17201502315976
2024-01-01 23:00:00,167.23557496757704,219.3541142155647,380.3600433371423,167.23557496757704,167.23557496757704,136.64963837913436,136.64963837913436,136.64963837913436,27.186252441554334,27.186252441554334,27.186252441554334,0.38224327639212013,0.38224327639212013,0.38224327639212013,109.0811426611879,109.0811426611879,109.0811426611879,0.0,0.0,0.0,303.8852133467114
2024-01-02 00:00:00,167.23004490750964,222.95157724577592,384.7888825884888,167.23004490750964,167.23004490750964,134.6842059844415,134.6842059844415,134.6842059844415,25.066700000138372,25.066700000138372,25.066700000138372,0.5818862356546843,0.5818862356546843,0.5818862356546843,109.03561974864844,109.03561974864844,109.03561974864844,0.0,0.0,0.0,301.91425089195116
